timestamp,counts
2011-11,149
2011-12,208
2012-01,191
2012-02,228
2012-03,297
2012-04,351
2012-05,350
2012-06,328
2012-07,297
2012-08,239
2012-09,334
2012-10,420
2012-11,287
2012-12,208
2013-01,348
2013-02,301
2013-03,248
2013-04,268
2013-05,352
2013-06,291
2013-07,288
2013-08,214
2013-09,318
2013-10,340
2013-11,258
2013-12,253
2014-01,269
2014-02,251
2014-03,276
2014-04,246
2014-05,266
2014-06,218
2014-07,252
2014-08,263
2014-09,268
2014-10,241
2014-11,257
2014-12,221
2015-01,229
2015-02,278
2015-03,293
2015-04,325
2015-05,332
2015-06,304
2015-07,296
2015-08,275
2015-09,288
2015-10,269
2015-11,268
2015-12,259
2016-01,250
2016-02,265
2016-03,262
2016-04,234
2016-05,279
2016-06,240
2016-07,258
2016-08,219
2016-09,243
2016-10,218
2016-11,247
2016-12,222
2017-01,217
2017-02,201
2017-03,286
2017-04,226
2017-05,243
2017-06,272
2017-07,230
2017-08,169
2017-09,222
2017-10,301
2017-11,237
2017-12,219
2018-01,280
2018-02,248
2018-03,275
2018-04,259
2018-05,274
2018-06,252
2018-07,230
2018-08,256
2018-09,238
2018-10,347
2018-11,263
2018-12,229
2019-01,267
2019-02,185
2019-03,201
2019-04,209
2019-05,259
2019-06,300
2019-07,250
2019-08,227
2019-09,248
2019-10,314
2019-11,266
2019-12,249
2020-01,292
2020-02,300
2020-03,310
2020-04,263
2020-05,258
2020-06,254
2020-07,263
2020-08,233
2020-09,345
2020-10,381
2020-11,86
